ProfileID,ModelCondition,ModelID,Datatype,WESKit
PR-3dMYvZ,MC-000633-iIki,ACH-000633,rna,
PR-3DOFqn,MC-000668-rT7J,ACH-000668,wgs,
PR-3f91xT,MC-000060-nHy6,ACH-000060,wes,AGILENT
PR-3H2lE3,MC-000637-aARQ,ACH-000637,rna,
PR-3hCsGH,MC-000696-I5h5,ACH-000696,wgs,
PR-3hoqtV,MC-001282-YJUQ,ACH-001282,wes,AGILENT
PR-3HQUeC,MC-001453-2D76,ACH-001453,wes,AGILENT
PR-3Id9kv,MC-000535-xYQ2,ACH-000535,wes,AGILENT
PR-3IGzZL,MC-002781-ot8s,ACH-002781,rna,
PR-3Jaqa6,MC-000262-Ldf3,ACH-000262,rna,
PR-3jm0km,MC-000356-gdC3,ACH-000356,wes,AGILENT
PR-3jQsYT,MC-001707-F2CK,ACH-001707,wes,ICE
PR-3JsWWy,MC-001608-UOYC,ACH-001608,rna,
PR-3JyTG0,MC-000935-E55p,ACH-000935,rna,
PR-3L6oOj,MC-001516-bRnF,ACH-001516,wes,ICE
PR-3lN258,MC-000470-7IjR,ACH-000470,wes,AGILENT
PR-3LnMkg,MC-000466-hcLR,ACH-000466,rna,
PR-3lR3Kt,MC-000684-nbWG,ACH-000684,wes,AGILENT
PR-3lYZxw,MC-001391-RTBf,ACH-001391,wes,ICE
PR-3m6kCG,MC-001208-AXGm,ACH-001208,wes,AGILENT
PR-3MGaLM,MC-000780-jx6G,ACH-000780,wes,AGILENT
PR-3MR99B,MC-000498-COlJ,ACH-000498,wes,AGILENT
PR-3nG8Ct,MC-001035-Wfke,ACH-001035,rna,
PR-3nKPNc,MC-001862-LLaC,ACH-001862,rna,
PR-3noEom,MC-000677-aJN8,ACH-000677,rna,
PR-3nSnQG,MC-000772-ox5U,ACH-000772,rna,
PR-3O96Xk,MC-001849-Eqdi,ACH-001849,rna,
PR-3oiVuO,MC-000576-XM9D,ACH-000576,wes,AGILENT
