floor_q,n0,upper_cut,lower_cut,rho
0.05,100,0.6,0.1,0.011898783492929065
0.05,25,0.3,0.05,0.01189210908347111
0.05,100,0.4,0.05,0.011883927281970134
0.05,5,0.3,0.05,0.011877141420438865
0.05,5,0.5,0.05,0.011873590420709403
0.05,10,0.3,0.05,0.011867294181294764
0.05,10,0.5,0.05,0.011866417238409234
0.05,50,0.6,0.1,0.011846508251217858
0.05,50,0.4,0.05,0.011834655389260564
0.05,25,0.6,0.1,0.011807287729044736
0.05,5,0.6,0.1,0.011793925841896822
0.05,25,0.4,0.05,0.011791354869491072
0.05,10,0.6,0.1,0.01178269314936966
0.05,5,0.4,0.05,0.011782653883431301
0.05,10,0.4,0.05,0.011768600952589633
0.05,100,0.5,0.02,0.01172654173259738
0.05,100,0.3,0.02,0.011682481180172602
0.05,50,0.5,0.02,0.011664019679597428
0.05,100,0.6,0.05,0.01165786317176098
0.05,50,0.3,0.02,0.011622188272170673
0.05,25,0.5,0.02,0.011609469066511937
0.05,50,0.6,0.05,0.011606865659016492
0.05,100,0.4,0.02,0.011586626842368757
0.05,5,0.5,0.02,0.011579111254189277
0.05,10,0.5,0.02,0.01157154075596703
0.05,25,0.3,0.02,0.011571357630275707
0.05,25,0.6,0.05,0.011567347548685929
0.05,5,0.3,0.02,0.011556503781527394
0.05,5,0.6,0.05,0.0115521872842664
0.05,10,0.3,0.02,0.01154641279408073
0.05,10,0.6,0.05,0.011542350376724287
0.05,50,0.4,0.02,0.011536050168369174
0.05,25,0.4,0.02,0.011492696245606695
0.05,5,0.4,0.02,0.011483667467010836
0.05,10,0.4,0.02,0.011470052957899372
0.05,100,0.6,0.02,0.011377879846590905
0.05,50,0.6,0.02,0.01132725452276779
0.05,25,0.6,0.02,0.01128848838445428
0.05,100,0.7,0.1,0.011280249476438905
0.05,5,0.6,0.02,0.011274854958679973
0.05,10,0.6,0.02,0.011264339822364387
0.05,50,0.7,0.1,0.011216942465296387
0.05,25,0.7,0.1,0.011166461171695886
0.05,10,0.7,0.1,0.011125917792171598
0.05,5,0.7,0.1,0.01112307368830325
0.05,100,0.7,0.05,0.011084955910353035
0.05,50,0.7,0.05,0.011024442231797733
0.05,25,0.7,0.05,0.010975483249068708
0.05,10,0.7,0.05,0.01093714139313892
0.05,5,0.7,0.05,0.010934962648718675
0.05,100,0.7,0.02,0.01082070845062579
0.05,100,0.8,0.1,0.010795039802259078
0.05,50,0.7,0.02,0.010762407076772422
0.05,50,0.8,0.1,0.010758624119109337
0.05,25,0.8,0.1,0.010730887862114721
0.05,5,0.8,0.1,0.010725777110282232
0.05,10,0.8,0.1,0.010717535608540687
0.05,25,0.7,0.02,0.010715879028079809
0.05,10,0.7,0.02,0.010680038042547364
0.05,5,0.7,0.02,0.010679645652181765
0.05,100,0.8,0.05,0.01062684831146743
0.05,50,0.8,0.05,0.010591737114181793
0.05,25,0.8,0.05,0.010564767503883061
0.05,5,0.8,0.05,0.010560710435269923
0.05,10,0.8,0.05,0.010552237139921369
0.05,100,0.8,0.02,0.01037886340094474
0.05,50,0.8,0.02,0.010344166629047748
0.05,25,0.8,0.02,0.010318279520098735
0.05,5,0.8,0.02,0.010316713351246542
0.05,10,0.8,0.02,0.010307147855883053
0.02,5,0.3,0.2,0.009929978441773978
0.02,10,0.3,0.2,0.00990936758698961
0.02,25,0.3,0.2,0.009888800543369637
0.02,100,0.3,0.2,0.009888313935048972
0.02,50,0.3,0.2,0.009887872115707835
0.02,5,0.4,0.2,0.009582830955465176
0.02,5,0.5,0.2,0.009560551143839299
0.02,100,0.5,0.2,0.009553894563225272
0.02,10,0.4,0.2,0.009549020179047952
0.02,50,0.5,0.2,0.009542626437012409
0.02,10,0.5,0.2,0.009538145877141897
0.02,25,0.5,0.2,0.009535182961755801
0.02,25,0.4,0.2,0.009514774607055316
0.02,50,0.4,0.2,0.009496937074166522
0.02,100,0.4,0.2,0.009478264328840491
0.02,5,0.6,0.2,0.009132702270013096
0.02,10,0.6,0.2,0.009119485264540466
0.02,100,0.6,0.2,0.009117468131021642
0.02,25,0.6,0.2,0.009115074961215237
0.02,50,0.6,0.2,0.009112796960125793
0.02,100,0.7,0.2,0.00857751467477706
0.02,50,0.7,0.2,0.008547703105449622
0.02,25,0.7,0.2,0.008526550874504381
0.02,10,0.7,0.2,0.008503866597721984
0.02,5,0.7,0.2,0.008500136849920032
0.02,100,0.3,0.1,0.008476583498103873
0.02,5,0.3,0.1,0.008464794773543309
0.02,50,0.3,0.1,0.008456272767307102
0.02,10,0.3,0.1,0.008451039879791034
0.02,25,0.3,0.1,0.00844471427266252
0.02,100,0.3,0.05,0.00839229529908015
0.02,50,0.3,0.05,0.008366359602576912
0.02,5,0.3,0.05,0.008360689373983718
0.02,25,0.3,0.05,0.008350146661112392
0.02,10,0.3,0.05,0.008349813606720116
0.02,100,0.3,0.02,0.008188944036031024
0.02,50,0.3,0.02,0.00816033192624268
0.02,5,0.3,0.02,0.00815056198460901
0.02,25,0.3,0.02,0.008141801692939734
0.02,5,0.4,0.1,0.008139925481720534
0.02,10,0.3,0.02,0.008139831904972828
0.02,100,0.5,0.1,0.008127011785782306
0.02,100,0.5,0.05,0.008119747978640759
0.02,10,0.4,0.1,0.008113274688708351
0.02,50,0.5,0.1,0.008104947361507301
0.02,5,0.5,0.1,0.00810433646183136
0.02,50,0.5,0.05,0.00809715847469641
0.02,5,0.4,0.05,0.008093616735227413
0.02,25,0.4,0.1,0.008092759451532516
0.02,5,0.5,0.05,0.008090763011738628
0.02,25,0.5,0.1,0.008089834805007082
0.02,100,0.4,0.1,0.008087974799349232
0.02,50,0.4,0.1,0.008087911615247695
0.02,10,0.5,0.1,0.008086282266980827
0.02,25,0.5,0.05,0.008080171434885056
0.02,10,0.5,0.05,0.008074555767160943
0.02,10,0.4,0.05,0.008069769062625451
0.02,100,0.8,0.2,0.008060572948065415
0.02,100,0.4,0.05,0.008057963903710028
0.02,25,0.4,0.05,0.008054610042839866
0.02,50,0.4,0.05,0.00805392467565311
0.02,50,0.8,0.2,0.008043832725922163
0.02,25,0.8,0.2,0.008032194349124173
0.02,5,0.8,0.2,0.008030982285495399
0.02,10,0.8,0.2,0.008026253803725285
0.02,100,0.5,0.02,0.007945216536191305
0.02,50,0.5,0.02,0.00792153265367192
0.02,5,0.5,0.02,0.00791423908369451
0.02,5,0.4,0.02,0.007909935979436497
0.02,25,0.5,0.02,0.007904125399588598
0.02,10,0.5,0.02,0.00789826233316013
0.02,10,0.4,0.02,0.007886703978210154
0.02,100,0.4,0.02,0.007880408628071324
0.02,50,0.4,0.02,0.007873664028203727
0.02,25,0.4,0.02,0.007872716427092932
0.02,100,0.6,0.05,0.007770801131744604
0.02,5,0.6,0.05,0.007760180513224833
0.02,50,0.6,0.05,0.007758013089309789
0.02,25,0.6,0.05,0.007752012704350971
0.02,10,0.6,0.05,0.007750201002493963
0.02,100,0.6,0.1,0.007733726119341427
0.02,5,0.6,0.1,0.007727391425687267
0.02,50,0.6,0.1,0.0077207793731437985
0.02,25,0.6,0.1,0.007716394635944495
0.02,10,0.6,0.1,0.0077158266980269915
0.02,100,0.6,0.02,0.0076171348053826245
0.02,5,0.6,0.02,0.007605301543276498
0.02,50,0.6,0.02,0.00760329288894934
0.02,25,0.6,0.02,0.007596780589848286
0.02,10,0.6,0.02,0.007594913869640828
0.02,100,0.7,0.05,0.007329791573921291
0.02,50,0.7,0.05,0.007299546794326289
0.02,25,0.7,0.05,0.007276585859357701
0.02,100,0.7,0.1,0.007255298757344852
0.02,10,0.7,0.05,0.007253483027183497
0.02,5,0.7,0.05,0.007248826062977538
0.02,50,0.7,0.1,0.007223658035213168
0.02,25,0.7,0.1,0.00720102250593721
0.02,100,0.7,0.02,0.007191030488615449
0.02,10,0.7,0.1,0.007177869993337646
0.02,5,0.7,0.1,0.007174164604191112
0.02,50,0.7,0.02,0.007161442309986858
0.02,25,0.7,0.02,0.0071393147430113876
0.02,10,0.7,0.02,0.00711749843930244
0.02,5,0.7,0.02,0.007114304206469901
0.02,100,0.8,0.05,0.006899018782380911
0.02,50,0.8,0.05,0.006882628916397068
0.02,25,0.8,0.05,0.006871340167641996
0.02,5,0.8,0.05,0.006868253675621912
0.02,10,0.8,0.05,0.006864576114800309
0.02,100,0.8,0.1,0.006802972137606927
0.02,50,0.8,0.1,0.0067863189513567325
0.02,25,0.8,0.1,0.006775324181888238
0.02,5,0.8,0.1,0.006774320680664594
0.02,100,0.8,0.02,0.006772867335207775
0.02,10,0.8,0.1,0.006769534127059828
0.02,50,0.8,0.02,0.006756483819703962
0.02,25,0.8,0.02,0.006745724763353747
0.02,5,0.8,0.02,0.0067444638294058695
0.02,10,0.8,0.02,0.006739799780591468
