model_id,method,cluster,tissue
ach-000713,HC_avg_k24,8,ovary
ach-001360,HC_avg_k24,9,cervix
ach-002921,HC_avg_k24,9,breast
ach-000273,HC_avg_k24,15,central_nervous_system
ach-001715,HC_avg_k24,15,bone
ach-001617,HC_avg_k24,13,lymphocyte
ach-000639,HC_avg_k24,21,lung
ach-000590,HC_avg_k24,6,lung
ach-000553,HC_avg_k24,9,lung
ach-000084,HC_avg_k24,13,blood
ach-000094,HC_avg_k24,9,pancreas
ach-000361,HC_avg_k24,15,liver
ach-000719,HC_avg_k24,8,ovary
ach-001396,HC_avg_k24,9,breast
ach-001848,HC_avg_k24,9,bile_duct
ach-000339,HC_avg_k24,15,lung
ach-002048,HC_avg_k24,19,soft_tissue
ach-000218,HC_avg_k24,13,blood
ach-002486,HC_avg_k24,3,ovary
ach-002711,HC_avg_k24,15,upper_aerodigestive
ach-000789,HC_avg_k24,21,lung
ach-000413,HC_avg_k24,15,fibroblast
ach-000125,HC_avg_k24,15,fibroblast
ach-000180,HC_avg_k24,15,fibroblast
ach-000215,HC_avg_k24,15,central_nervous_system
ach-001001,HC_avg_k24,17,bone
ach-000407,HC_avg_k24,15,uterus
ach-002170,HC_avg_k24,21,lung
ach-002027,HC_avg_k24,8,uterus
ach-001132,HC_avg_k24,13,lymphocyte
ach-001278,HC_avg_k24,23,ovary
ach-000032,HC_avg_k24,13,blood
ach-003108,HC_avg_k24,13,lymphocyte
ach-001419,HC_avg_k24,9,breast
ach-000494,HC_avg_k24,3,ovary
ach-000865,HC_avg_k24,9,esophagus
ach-000439,HC_avg_k24,13,blood
ach-001523,HC_avg_k24,9,skin
ach-001983,HC_avg_k24,14,skin
ach-000024,HC_avg_k24,13,plasma_cell
ach-000674,HC_avg_k24,9,gastric
ach-000670,HC_avg_k24,23,lung
ach-000599,HC_avg_k24,9,pancreas
ach-000263,HC_avg_k24,13,blood
ach-003191,HC_avg_k24,15,bone
ach-000303,HC_avg_k24,6,gastric
ach-001551,HC_avg_k24,19,skin
ach-002795,HC_avg_k24,19,soft_tissue
ach-000793,HC_avg_k24,9,gastric
ach-002511,HC_avg_k24,14,skin
ach-000286,HC_avg_k24,9,colorectal
ach-000250,HC_avg_k24,3,kidney
ach-000139,HC_avg_k24,9,pancreas
ach-001735,HC_avg_k24,13,blood
ach-002013,HC_avg_k24,14,eye
