HGNC ID	Approved symbol	Previous symbols	Alias symbols	Ensembl gene ID	Locus group
HGNC:20999	ACOT13	THEM2	HT012	ENSG00000112304	protein-coding gene
HGNC:119	ACOX1		PALMCOX	ENSG00000161533	protein-coding gene
HGNC:120	ACOX2		BRCACOX, BRCOX, THCCox	ENSG00000168306	protein-coding gene
HGNC:121	ACOX3			ENSG00000087008	protein-coding gene
HGNC:25621	ACOXL		FLJ11042, ACOX4	ENSG00000153093	protein-coding gene
HGNC:41112	ACOXL-AS1			ENSG00000204581	non-coding RNA
HGNC:122	ACP1		HAAP, LMW-PTP, LMWPTP	ENSG00000143727	protein-coding gene
HGNC:123	ACP2		LAP	ENSG00000134575	protein-coding gene
HGNC:125	ACP3	ACPP	ACP-3, PAP, TM-PAP	ENSG00000014257	protein-coding gene
HGNC:14376	ACP4	ACPT		ENSG00000142513	protein-coding gene
HGNC:124	ACP5		TRAP, HPAP, TRAcP	ENSG00000102575	protein-coding gene
HGNC:29609	ACP6		LPAP, ACPL1	ENSG00000162836	protein-coding gene
HGNC:33781	ACP7		FLJ16165, PAPL1, PAPL	ENSG00000183760	protein-coding gene
HGNC:126	ACR			ENSG00000100312	protein-coding gene
HGNC:17195	ACRBP		SP32, OY-TES-1, CT23	ENSG00000111644	protein-coding gene
HGNC:54745	ACRP1			ENSG00000175509	pseudogene
HGNC:127	ACRV1		SPACA2, SP-10, D11S4365	ENSG00000134940	protein-coding gene
HGNC:29567	ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	ENSG00000103740	protein-coding gene
HGNC:24174	ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	ENSG00000130377	protein-coding gene
HGNC:59199	ACSBG3P			ENSG00000284490	pseudogene
HGNC:26101	ACSF2		FLJ20920, ACSMW	ENSG00000167107	protein-coding gene
HGNC:27288	ACSF3			ENSG00000176715	protein-coding gene
HGNC:3569	ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	ENSG00000151726	protein-coding gene
HGNC:58916	ACSL1-DT			ENSG00000286256	non-coding RNA
HGNC:3570	ACSL3	FACL3	ACS3, PRO2194	ENSG00000123983	protein-coding gene
HGNC:40227	ACSL3-AS1			ENSG00000234193	non-coding RNA
HGNC:56529	ACSL3P1			ENSG00000244062	pseudogene
HGNC:3571	ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	ENSG00000068366	protein-coding gene
HGNC:16526	ACSL5	FACL5	ACS5, ACS2	ENSG00000197142	protein-coding gene
HGNC:16496	ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	ENSG00000164398	protein-coding gene
HGNC:40772	ACSL6-AS1			ENSG00000223548	non-coding RNA
HGNC:40773	ACSL6-AS2			ENSG00000231585	non-coding RNA
HGNC:18049	ACSM1	BUCS1	MACS1	ENSG00000166743	protein-coding gene
HGNC:32017	ACSM2A	ACSM2	A-923A4.1, MGC150530	ENSG00000183747	protein-coding gene
HGNC:30931	ACSM2B	ACSM2	HXMA, HYST1046	ENSG00000066813	protein-coding gene
HGNC:10522	ACSM3	SAH	SA	ENSG00000005187	protein-coding gene
HGNC:32016	ACSM4			ENSG00000215009	protein-coding gene
HGNC:26060	ACSM5		FLJ20581	ENSG00000183549	protein-coding gene
HGNC:51295	ACSM5P1			ENSG00000260762	pseudogene
HGNC:31665	ACSM6	C10orf129	bA310E22.3	ENSG00000173124	protein-coding gene
HGNC:16091	ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	ENSG00000154930	protein-coding gene
HGNC:15814	ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	ENSG00000131069	protein-coding gene
HGNC:24723	ACSS3		FLJ21963	ENSG00000111058	protein-coding gene
HGNC:58286	ACSS3-AS1			ENSG00000258026	non-coding RNA
HGNC:129	ACTA1	ACTA	NEM3	ENSG00000143632	protein-coding gene
HGNC:130	ACTA2		ACTSA	ENSG00000107796	protein-coding gene
HGNC:45169	ACTA2-AS1		uc001kfo.1, ZXF1, UC001kfo	ENSG00000180139	non-coding RNA
HGNC:132	ACTB			ENSG00000075624	protein-coding gene
HGNC:17780	ACTBL2		DKFZp686D0972	ENSG00000169067	protein-coding gene
HGNC:134	ACTBP1			ENSG00000229145	pseudogene
HGNC:135	ACTBP2			ENSG00000213763	pseudogene
HGNC:136	ACTBP3				pseudogene
HGNC:137	ACTBP4			ENSG00000286676	pseudogene
HGNC:139	ACTBP6			ENSG00000203413	pseudogene
HGNC:140	ACTBP7			ENSG00000185607	pseudogene
